barangay_id,university_id,barangay_name,university_name,distance_km,commute_time_mins
9,5,Cablong,DMMMSU – South La Union Campus (SLUC),34.85,41.2
9,6,Cablong,DMMMSU – Mid La Union Campus (MLUC),66.64,85.4
9,7,Cablong,Benguet State University - La Trinidad,68.39,94.8
9,8,Cablong,Central Luzon State University,89.31,84.3
9,9,Cablong,Tarlac State University - Tarlac,78.99,68.5
9,10,Cablong,Pangasinan State University - Lingayen,42.05,68.8
9,11,Cablong,Pangasinan State University - Bayambang,48.18,58.5
9,12,Cablong,Saint Louis University - Baguio,64.09,86.6
9,13,Cablong,University of the Philippines - Baguio,44.78,54.5
9,14,Cablong,University of Pangasinan - PHINMA,25.1,42.6
9,15,Cablong,University of the Philippines - Diliman,199.58,166.6
9,16,Cablong,University of the Philippines - Manila,201.21,170.2
9,17,Cablong,Univeristy of the Philippines - Open University,199.01,165.2
9,18,Cablong,Polytechnic University of the Philippines - Manila,200.1,166.5
9,19,Cablong,Lyceum-Northwestern University,27.02,46.8
9,20,Cablong,Pangasinan Polytechnic College,42.31,69.1
10,1,Casanfernandoan,University of Eastern Pangasinan,17.07,21.3
10,2,Casanfernandoan,Urdaneta City University,27.35,28.5
10,3,Casanfernandoan,Pangasinan State University - Urdaneta City,24.99,25.9
10,4,Casanfernandoan,Pangasinan State University - Asingan,33.34,35.8
10,5,Casanfernandoan,DMMMSU – South La Union Campus (SLUC),38.55,47.8
10,6,Casanfernandoan,DMMMSU – Mid La Union Campus (MLUC),70.33,91.9
10,7,Casanfernandoan,Benguet State University - La Trinidad,72.08,101.4
10,8,Casanfernandoan,Central Luzon State University,96.05,91.2
10,9,Casanfernandoan,Tarlac State University - Tarlac,85.74,75.4
10,10,Casanfernandoan,Pangasinan State University - Lingayen,37.71,59.0
10,11,Casanfernandoan,Pangasinan State University - Bayambang,44.84,61.0
10,12,Casanfernandoan,Saint Louis University - Baguio,67.78,93.1
10,13,Casanfernandoan,University of the Philippines - Baguio,48.47,61.0
10,14,Casanfernandoan,University of Pangasinan - PHINMA,20.76,32.8
10,15,Casanfernandoan,University of the Philippines - Diliman,206.32,173.6
10,16,Casanfernandoan,University of the Philippines - Manila,207.95,177.2
