barangay_id,university_id,barangay_name,university_name,distance_km,commute_time_mins,distance_km_mid,economic_constraint,tuition_estimate,annual_transport_cost_php,total_annual_burden_php,affordability_at_tier_1,affordability_at_tier_2,affordability_at_tier_3,affordability_at_tier_4,affordability_at_tier_5
31,17,Sugcong,Univeristy of the Philippines - Open University,202.11,171.0,220.0,1,10000,181899.0,191899.0,False,False,False,False,False
31,18,Sugcong,Polytechnic University of the Philippines - Manila,203.21,172.4,220.0,1,10000,182889.0,192889.0,False,False,False,False,False
31,19,Sugcong,Lyceum-Northwestern University,32.67,53.3,55.0,3,60000,29403.000000000004,89403.0,False,False,False,False,True
31,20,Sugcong,Pangasinan Polytechnic College,62.9,75.2,85.0,2,25000,56610.0,81610.0,False,False,False,False,True
32,1,Talogtog,University of Eastern Pangasinan,10.74,13.5,15.0,2,25000,9666.0,34666.0,False,True,True,True,True
32,2,Talogtog,Urdaneta City University,20.11,21.4,25.0,2,25000,18099.0,43099.0,False,False,True,True,True
32,3,Talogtog,Pangasinan State University - Urdaneta City,17.75,18.8,35.0,1,10000,15975.0,25975.0,True,True,True,True,True
32,4,Talogtog,Pangasinan State University - Asingan,26.1,28.6,40.0,1,10000,23490.0,33490.0,True,True,True,True,True
32,5,Talogtog,DMMMSU – South La Union Campus (SLUC),36.93,45.2,75.0,1,10000,33237.0,43237.0,False,False,True,True,True
32,6,Talogtog,DMMMSU – Mid La Union Campus (MLUC),68.72,89.3,55.0,1,10000,61848.00000000001,71848.0,False,False,False,False,True
32,7,Talogtog,Benguet State University - La Trinidad,70.46,98.8,95.0,1,10000,63413.99999999999,73414.0,False,False,False,False,True
32,8,Talogtog,Central Luzon State University,90.3,86.9,85.0,1,10000,81270.0,91270.0,False,False,False,False,False
32,9,Talogtog,Tarlac State University - Tarlac,79.99,71.2,45.0,1,10000,71991.0,81991.0,False,False,False,False,True
32,10,Talogtog,Pangasinan State University - Lingayen,39.95,64.8,55.0,1,10000,35955.0,45955.0,False,False,True,True,True
32,11,Talogtog,Pangasinan State University - Bayambang,49.17,61.1,55.0,1,10000,44253.00000000001,54253.00000000001,False,False,False,True,True
32,12,Talogtog,Saint Louis University - Baguio,66.16,90.5,55.0,3,60000,59543.99999999999,119544.0,False,False,False,False,False
32,13,Talogtog,University of the Philippines - Baguio,46.86,58.4,55.0,1,10000,42174.0,52174.0,False,False,False,True,True
32,14,Talogtog,University of Pangasinan - PHINMA,23.0,38.6,55.0,3,60000,20700.0,80700.0,False,False,False,False,True
32,15,Talogtog,University of the Philippines - Diliman,200.57,169.3,220.0,1,10000,180512.99999999997,190512.99999999997,False,False,False,False,False
32,16,Talogtog,University of the Philippines - Manila,202.2,172.9,220.0,1,10000,181980.0,191980.0,False,False,False,False,False
32,17,Talogtog,Univeristy of the Philippines - Open University,200.0,167.8,220.0,1,10000,180000.0,190000.0,False,False,False,False,False
32,18,Talogtog,Polytechnic University of the Philippines - Manila,201.09,169.2,220.0,1,10000,180981.0,190981.0,False,False,False,False,False
32,19,Talogtog,Lyceum-Northwestern University,24.93,42.8,55.0,3,60000,22437.0,82437.0,False,False,False,False,True
32,20,Talogtog,Pangasinan Polytechnic College,40.21,65.0,85.0,2,25000,36189.0,61189.0,False,False,False,False,True
33,1,Tulnac,University of Eastern Pangasinan,12.27,15.5,15.0,2,25000,11042.999999999998,36043.0,False,True,True,True,True
33,2,Tulnac,Urdaneta City University,21.64,23.3,25.0,2,25000,19476.0,44476.0,False,False,True,True,True
33,3,Tulnac,Pangasinan State University - Urdaneta City,19.28,20.7,35.0,1,10000,17352.0,27352.0,True,True,True,True,True
33,4,Tulnac,Pangasinan State University - Asingan,27.63,30.6,40.0,1,10000,24867.0,34867.0,False,True,True,True,True
33,5,Tulnac,DMMMSU – South La Union Campus (SLUC),38.46,47.0,75.0,1,10000,34614.0,44614.0,False,False,True,True,True
33,6,Tulnac,DMMMSU – Mid La Union Campus (MLUC),70.24,91.2,55.0,1,10000,63216.0,73216.0,False,False,False,False,True
33,7,Tulnac,Benguet State University - La Trinidad,71.99,100.6,95.0,1,10000,64791.0,74791.0,False,False,False,False,True
33,8,Tulnac,Central Luzon State University,91.83,88.9,85.0,1,10000,82647.0,92647.0,False,False,False,False,False
